RNA;nom;sigle;description;etat;dateDeValidationStatuts;siege;liste_activites;contact_adresse;contact_cp;contact_ville;site_web;anneeCreation
W332014787;Arts Martiaux Shaolin Bordeaux;;Association sportive pour développer la pratique de loisir et/ou de compétition, des arts martiaux chinois sous l’égide de sa fédération nationale, en proposant des cours de Kung Fu, des cours de Taichi et de Qi Gong. Favoriser le développement économique local par la création d’emplois dans le secteur sportif, socio-culturel et de loisir.;Validée;1998-12-16;Bordeaux;"Taï Chi Chuan;Self défense";4 rue Cazenave;33100;Bordeaux;http://www.shaolin-bordeaux.fr;1998
w751071568;Union nationale de familles et amis de personnes malades et/ou handicapées psychiques - Délégation de la Gironde;UNAFAM 33;Association reconnue d’utilité publique, qui accueille, écoute, soutient, forme, informe et accompagne les familles, l'entourage, les aidants naturels de personnes vivant avec des troubles psychiques sévères. Elle reçoit aussi les parents d’enfants et d’adolescents ayant des troubles psychologiques, des troubles psychiques ou des troubles du comportement. Service écoute famille, assistante sociale, service juridique.;Validée;2009-03-19;Paris;Aide aux familles des malades;40 rue du Sablonat;33800;Bordeaux;http://www.unafam.org/;1963
W332016571;Music's Cool;;Music's Cool propose l'enseignement de la musique par des cours particuliers de 30, 45 ou 60 minutes : piano, violon, flûte, chant lyrique et actuel, basse, saxophone, ukulélé, clarinette, guitare classique et électrique, batterie. Ainsi que des ateliers musiques actuelles qui se produisent sur scène une fois par trimestre et pour toute autre occasion qui se présente. L'ambiance est conviviale et détendue.;Validée;2015-02-02;Bordeaux;Musiques actuelles;1 Rue Fernand Cazères;33200;Bordeaux;;2014
w332007690;Club Athlétique Municipal de Bordeaux;CAM Bordeaux;L'association a pour objet principal l’organisation et le développement des activités physiques et sportives au profit de ses membres, y compris les personnes handicapées motrices et sensorielles.;Validée;2010-02-11;Bordeaux;"Cyclisme;Boxes;Escrime;Gymnastique artistique;Gymnastique rythmique;Judo et disciplines associées;Haltérophilie, musculation;Pelote basque;Sports sous-marins;Tennis;Tennis de table;Self défense";7 rue André Maginot;33200;Bordeaux;http://www.cam-bordeaux.com/;1930
W332012602;Ukulélé Club de Bordeaux;;"Le Ukulélé Club de Bordeaux soutient et organise des projets musicaux dans le but de création de spectacles autour de la culture du ukulélé.
Tous les styles musicaux de la musique ancienne aux musiques les plus actuelles sont abordés.
Basée à l'Université de Bordeaux, cette association est ouverte à tous mais ne donne pas de cours particuliers.";Validée;2011-07-21;Bordeaux;Musiques actuelles;16 avenue Léon Duguit;33608;Pessac Cedex;http://www.ukulelebordeaux.com;2011
W332014917;Aquitaine Culture;AC;Pôle de coopération entre Culture & Entreprises en Nouvelle-Aquitaine. Développement de projets d’innovation sociale. Services d’intermédiation et ingénierie de projets de coopération. Formation continue des professionnels de la culture et de la création.;Validée;2017-04-13;Bordeaux;Contemporaine;50 place des Martyrs de la Résistance;33000;Bordeaux;http://www.aquitaineculture.org/;2013
W332007436;Maison de la Nature et de l'Environnement Bordeaux-Aquitaine;MNE;La Maison de la Nature et de l'Environnement Bordeaux-Aquitaine regroupe 40 associations et collectifs de protection de l'environnement, du cadre de vie et du développement durable actifs sur le territoire de la Gironde autour de thématiques variées (climat, agriculture, mobilités, déchets, habitat, biodiversité etc.) et des typologies d'actions complémentaires (sensibilisation, plaidoyer, mobilisation).;Validée;2017-05-11;Bordeaux;Ecologie;3 rue Tauzia;33800;Bordeaux;http://www.mne-bordeauxaquitaine.org/;1983
W332013425;Philomathique de Bordeaux;;La Philomathique de la Métropole de Bordeaux est une école poly-techniques des apprentissages reconnue d’utilité publique. Créée en 1808, elle a depuis contribué à la formation de 118 Meilleurs Ouvriers de France et accueille au cœur de Bordeaux plus de 1000 auditeurs par an.;Validée;1808-07-01;Bordeaux;Formation, formation continue, apprentissage;66 rue Abbé de l'Epée;33000;Bordeaux;http://www.philomathiquebordeaux.com/;1901
W332019005;Wanted Radio;;Promouvoir la radio web Wanted Radio. Diffusion d’œuvres musicales et d’artiste. Parrainage de jeunes artistes.;Validée;2015-08-28;Bordeaux;Musiques actuelles;39, rue de l'Hermitage;33200;Bordeaux;https://wantedradio.fr/;2015
W332007946;Auto Défense et Arts Martiaux Bordeaux;ADAM Bordeaux;L'association ADAM Bordeaux a pour objet l’enseignement et la pratique des arts martiaux en général dont le Krav-Maga, Judo, Jiu Jitsu Brésilien, Grappling et Mix Martial Arts (MMA).;Validée;2014-01-13;Bordeaux;"Self défense;Jiu Jitsu brésilien;Boxes;Judo et disciplines associées";92 cours le Rouzic;33100;Bordeaux;http://www.adam-bordeaux.fr/;2009
