nom;y_lat;type_public;Timestamp;RowKey;x_long;num_quartier;PartitionKey;type_acces;payant;cle;operateur;situation;entityid;cp;geometrie;formation;geo_point_2d
Bibliothèque Grand Parc;44.8578601494929;Tous;2015-05-06T11:12:25.1646869Z;eb95d197-6add-45a9-8c12-596b1ced9e0b;-0.584254984261177;2;02b39c8d-ccf2-4b62-bca1-a927820d01e8;Wifi;NON;302;Ville;Externe;02b39c8d-ccf2-4b62-bca1-a927820d01e8;33000;"{""type"": ""Point"", ""coordinates"": [-0.584254984261177, 44.8578601494929]}";non;44.8578601495,-0.584254984261
H14Toit;44.8542727303211;Tous;2015-05-06T11:12:22.8593303Z;b3a19513-594a-4708-bdc1-eeee49161619;-0.565040125534483;2;034b72e8-1e79-4add-9066-fae2f711ea98;Wifi;NON;263;Ville;Externe;034b72e8-1e79-4add-9066-fae2f711ea98;33000;"{""type"": ""Point"", ""coordinates"": [-0.565040125534483, 44.8542727303211]}";non;44.8542727303,-0.565040125534
Bibliothèque Tauzin;44.8204892098459;Tous;2015-05-06T11:12:20.5382068Z;f59fc96d-4302-4390-9188-6ca171bfbb2d;-0.601869931416811;4;1cf8a71f-8842-4ddb-9197-46c715ac3897;Poste libre service;NON;246;Ville;Interne;1cf8a71f-8842-4ddb-9197-46c715ac3897;33000;"{""type"": ""Point"", ""coordinates"": [-0.601869931416811, 44.8204892098459]}";non;44.8204892098,-0.601869931417
Place Saint Michel;44.8342984523836;Tous;2015-05-06T11:12:18.9578567Z;e2d2c98e-a753-43d4-abda-9ffd3578c283;-0.566015567785078;6;21977b0f-7fbb-48f5-b6b0-4b6c4dd9b147;Wifi;NON;271;Ville;Externe;21977b0f-7fbb-48f5-b6b0-4b6c4dd9b147;33000;"{""type"": ""Point"", ""coordinates"": [-0.566015567785078, 44.8342984523836]}";;44.8342984524,-0.566015567785
Club Senior Lumineuse;44.8732525681827;Seniors;2015-05-06T11:12:26.7655248Z;91a20fd8-323a-4136-8d46-c2b4ed16d3f8;-0.54612814234151;1;2cd4c09b-400e-4e09-85e4-ac59d2fa4af6;Poste libre service;OUI;332;Ville;Interne;2cd4c09b-400e-4e09-85e4-ac59d2fa4af6;33000;"{""type"": ""Point"", ""coordinates"": [-0.54612814234151, 44.8732525681827]}";oui;44.8732525682,-0.546128142342
ATHENEE MUNICIPAL;44.8398436651071;Tous;2015-05-06T11:12:21.0621134Z;1376c5db-01e1-4936-8a29-e02fa3d37b0e;-0.576958961500011;3;359ded48-92fd-4986-b5f0-92c3845999d7;Poste libre service;NON;299;Ville;Interne;359ded48-92fd-4986-b5f0-92c3845999d7;33000;"{""type"": ""Point"", ""coordinates"": [-0.576958961500011, 44.8398436651071]}";non;44.8398436651,-0.5769589615
Office de tourisme - Place de la Comédie;44.8435715822149;Tous;2015-05-06T11:12:20.0849138Z;323a1370-7286-4f50-a23e-c0b4085339e7;-0.574260542405202;3;421026fe-a607-40bc-9de4-b36b8bc7f5ed;Wifi;NON;1007;Ville;Externe;421026fe-a607-40bc-9de4-b36b8bc7f5ed;;"{""type"": ""Point"", ""coordinates"": [-0.574260542405202, 44.8435715822149]}";;44.8435715822,-0.574260542405
MEC Parvis 2;44.8392620546689;Tous;2015-05-06T11:12:25.5286548Z;597229bd-ffee-4378-8eab-1b03f7e2aa8d;-0.567515736723729;3;42bd8a05-5793-42b4-ba1c-61905a65ad30;Wifi;NON;308;Ville;Externe;42bd8a05-5793-42b4-ba1c-61905a65ad30;33000;"{""type"": ""Point"", ""coordinates"": [-0.567515736723729, 44.8392620546689]}";non;44.8392620547,-0.567515736724
CCAS;44.8587996228254;Tous;2015-05-06T11:12:23.1800693Z;701666fb-e9af-4f09-bb63-8a1c2af8264c;-0.56898193867724;2;4bc856bc-6777-43d4-a464-9e3287aa49a0;Poste libre service;NON;283;Ville;Interne;4bc856bc-6777-43d4-a464-9e3287aa49a0;33000;"{""type"": ""Point"", ""coordinates"": [-0.56898193867724, 44.8587996228254]}";non;44.8587996228,-0.568981938677
Place Victoire 1;44.8307985828337;Tous;2015-05-06T11:12:27.0474879Z;db08eaaf-ccf3-4452-959c-23d508b2aaec;-0.572389982423059;6;64cef998-e501-4923-9b68-ec08045cad05;Wifi;NON;315;Ville;Externe;64cef998-e501-4923-9b68-ec08045cad05;33000;"{""type"": ""Point"", ""coordinates"": [-0.572389982423059, 44.8307985828337]}";non;44.8307985828,-0.572389982423
